xflr5 v6.61

Plane name :, Wing
Polar name :, T1-22.0 m/s-LLT
Freestream speed :, 22.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -4.900,     0.000,   0.120845,   0.000643,   0.010363,   0.011006,   0.000000,   0.000000,  -0.101305,   0.000000,  -0.000000,   22.0000,    0.2238
   -4.800,     0.000,   0.128915,   0.000732,   0.010263,   0.010995,   0.000000,  -0.000000,  -0.103175,   0.000000,  -0.000000,   22.0000,    0.2136
   -4.700,     0.000,   0.136989,   0.000828,   0.010166,   0.010994,   0.000000,  -0.000000,  -0.105043,   0.000000,   0.000000,   22.0000,    0.2046
   -4.600,     0.000,   0.145001,   0.000928,   0.010053,   0.010982,   0.000000,  -0.000000,  -0.106892,   0.000000,  -0.000000,   22.0000,    0.1966
   -4.500,     0.000,   0.152884,   0.001034,   0.009912,   0.010946,   0.000000,  -0.000000,  -0.108711,   0.000000,   0.000000,   22.0000,    0.1895
   -4.400,     0.000,   0.160557,   0.001142,   0.009730,   0.010873,   0.000000,  -0.000000,  -0.110478,   0.000000,  -0.000000,   22.0000,    0.1833
   -4.300,     0.000,   0.167993,   0.001254,   0.009510,   0.010764,   0.000000,  -0.000000,  -0.112181,   0.000000,   0.000000,   22.0000,    0.1778
   -4.200,     0.000,   0.175318,   0.001368,   0.009283,   0.010652,   0.000000,  -0.000000,  -0.113843,   0.000000,  -0.000000,   22.0000,    0.1728
   -4.100,     0.000,   0.182632,   0.001487,   0.009070,   0.010557,   0.000000,  -0.000000,  -0.115485,   0.000000,  -0.000000,   22.0000,    0.1682
   -4.000,     0.000,   0.189865,   0.001610,   0.008862,   0.010472,   0.000000,  -0.000000,  -0.117071,   0.000000,   0.000000,   22.0000,    0.1640
   -3.900,     0.000,   0.196851,   0.001734,   0.008644,   0.010378,   0.000000,  -0.000000,  -0.118520,   0.000000,   0.000000,   22.0000,    0.1601
   -3.800,     0.000,   0.203619,   0.001860,   0.008425,   0.010285,   0.000000,  -0.000000,  -0.119834,   0.000000,   0.000000,   22.0000,    0.1564
