S7055
T1-18.8 m/s-LLT
Freestream speed = 18.800 m/s


 Ctrl        α (°)        β (°)        φ (°)        CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift (N)     Drag (N)     Fx_FF (N)    Fy_FF (N)    Fz_FF (N)    Fx_sum (N)   Fy_sum (N)   Fz_sum (N)   Extra drag (N)  Fuse drag (N)  Cf_Fuse      Vx (m/s)     Vz (m/s)     V (m/s)      Gamma        L (N.m)      M (N.m)      N (N.m)      CPx (m)      CPy (m)      CPz (m)      BM (N.m)     m.g.Vz (W)   Drag x V (W)  Efficiency   XCp.Cl       XNP (m)      Phugoid Freq. (Hz)  Phugoid Damping  Short Period Freq. (Hz)  Short Period Damping Ratio  Dutch Roll Freq. (Hz)  Dutch Roll Damping  Roll Damping  Spiral Damping  Mass (kg)    CoG_x (m)    CoG_z (m)    
          0         -0.6            0            0      0.23225     0.013684     0.011285    0.0023994            0     -0.12982            0     -0.12982  -1.4231e-18   5.3299e-20   5.5901e-20  -2.6023e-21       16.972       8.1794        2.075       24.869       1.4653      0.51732            0       24.865            0            0            0            0            0            0       18.767            0         18.8        3.372  -3.0474e-16      -3.6878   1.4606e-17          nan          nan          nan       5.6531            0       27.547      0.94925          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0         -0.4            0            0       0.2463     0.013456     0.010739    0.0027167            0     -0.13277            0     -0.13277  -1.8982e-19   8.5985e-20   7.4537e-20   1.1448e-20       18.304       9.0841        2.015       26.372       1.4408        0.475            0       26.369            0            0            0            0            0            0       18.772            0         18.8       3.1271  -4.0632e-17      -3.7716   1.8698e-17          nan          nan          nan       6.0156            0       27.086      0.94281          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0         -0.2            0            0      0.25717     0.012907    0.0099087     0.002998            0     -0.13429            0     -0.13429  -1.6127e-18   9.1161e-20   1.0673e-19  -1.5564e-20       19.925       10.105       1.9719       27.536        1.382      0.41712            0       27.535            0            0            0            0            0            0       18.776            0         18.8       2.8731  -3.4537e-16      -3.8147   2.0728e-17          nan          nan          nan       6.3137            0       25.981      0.93148          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0   7.4506e-08            0            0      0.27097      0.01257    0.0092378    0.0033324            0     -0.13677            0     -0.13677  -1.3417e-18   1.7879e-19   1.6602e-19   1.2773e-20       21.557       11.222        1.921       29.015        1.346      0.35682            0       29.015            0            0            0            0            0            0        18.78            0         18.8        2.656  -2.8732e-16      -3.8851   3.8288e-17          nan          nan          nan       6.6306            0       25.304      0.93038          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0          0.2            0            0      0.29904     0.012805    0.0088289    0.0039757            0     -0.14617            0     -0.14617  -8.8076e-19   1.3464e-20  -3.2187e-20   4.5651e-20       23.354       12.771       1.8287       32.019       1.3711      0.31393            0       32.021            0            0            0            0            0            0       18.783            0         18.8       2.4519  -1.8865e-16      -4.1521   2.2249e-18          nan          nan          nan        7.198            0       25.776      0.94971          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0          0.4            0            0      0.32813     0.013297    0.0085646     0.004732            0     -0.15637            0     -0.15637  -1.4905e-18   1.1188e-19   6.2679e-20   4.9199e-20       24.677       14.136       1.7457       35.134       1.4237      0.26139            0       35.137            0            0            0            0            0            0       18.785            0         18.8       2.3205  -3.1925e-16      -4.4421    2.173e-17          nan          nan          nan       7.8372            0       26.766       0.9607          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0          0.6            0            0      0.35939     0.014077    0.0084568    0.0056205            0     -0.16771            0     -0.16771  -1.0981e-18  -6.4012e-20  -3.3879e-20  -3.0133e-20        25.53       15.305       1.6681       38.482       1.5073      0.19881            0       38.486            0            0            0            0            0            0       18.786            0         18.8       2.2431  -2.3508e-16      -4.7641  -1.6171e-17          nan          nan          nan       8.5374            0       28.338      0.97033          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0          0.8            0            0      0.38429     0.014742    0.0083178    0.0064238            0     -0.17607            0     -0.17607  -9.0711e-19   2.3734e-19     1.66e-19   7.1333e-20       26.068        16.16       1.6131       41.147       1.5785      0.11325            0       41.153            0            0            0            0            0            0       18.786            0         18.8       2.1968  -1.9445e-16      -5.0015   4.8115e-17          nan          nan          nan        9.154            0       29.675      0.97068          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0            1            0            0      0.40321     0.015313    0.0082232    0.0070894            0     -0.18134            0     -0.18134  -3.3855e-18   3.0501e-19   1.2195e-19   1.8306e-19       26.332        16.72       1.5748       43.174       1.6396    0.0054961            0        43.18            0            0            0            0            0            0       18.786            0         18.8       2.1749  -7.2557e-16      -5.1514   5.2663e-17          nan          nan          nan       9.6409            0       30.824       0.9683          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0          1.2            0            0      0.42148     0.015991     0.008209    0.0077818            0     -0.18639            0     -0.18639  -3.1304e-18  -4.2774e-22  -4.2342e-20   4.1915e-20       26.358       17.112       1.5403        45.13       1.7122     -0.11208            0       45.138            0            0            0            0            0            0       18.786            0         18.8       2.1727  -6.7042e-16      -5.2947  -1.4135e-17          nan          nan          nan       10.123            0        32.19       0.9639          nan            0            0            0            0            0            0            0            0            0            0            0            0  
